PassengerID,PNR,DepartureDate,DepartureStation,STD,ArrivalStation,FlightNumber,InventoryLegID,UnitDesignator,SeatLoc,Result
178693349,HETQPA,2022-10-08,PHL,2022-10-08,PUJ,22,2575541,31B,"Middle Seat, Back of Plane",200
178033913,L6LYRL,2022-10-08,PHL,2022-10-08,PUJ,22,2575541,31E,"Middle Seat, Back of Plane",200
177836315,T8JKKV,2022-10-08,PHL,2022-10-08,PUJ,22,2575541,31C,"Aisle Seat, Back of Plane",200
164580225,Q74EVY,2022-10-08,PHL,2022-10-08,PUJ,22,2575541,31D,"Aisle Seat, Back of Plane",200
178041037,XC1Z3J,2022-10-08,PHL,2022-10-08,PUJ,22,2575541,31F,"Window Seat, Back of Plane",200
179434717,CBQ18G,2022-10-08,PHL,2022-10-08,PUJ,22,2575541,31A,"Window Seat, Back of Plane",200
178454660,QYNYQP,2022-10-08,PHL,2022-10-08,PUJ,22,2575541,30B,"Middle Seat, Back of Plane",200
178284477,WEHVST,2022-10-08,PHL,2022-10-08,PUJ,22,2575541,29B,"Middle Seat, Back of Plane",200
178896998,R86NHV,2022-10-08,PHL,2022-10-08,PUJ,22,2575541,28B,"Middle Seat, Back of Plane",200
178622940,ZCLDQZ,2022-10-08,PHL,2022-10-08,PUJ,22,2575541,27B,"Middle Seat, Back of Plane",200
178897595,R8QZ7S,2022-10-08,PHL,2022-10-08,PUJ,22,2575541,26B,"Middle Seat, Back of Plane",200
177027371,AE8DMA,2022-10-08,PUJ,2022-10-08,PHL,23,2575542,31B,"Middle Seat, Back of Plane",200
178662450,HDIUUT,2022-10-08,PUJ,2022-10-08,PHL,23,2575542,31E,"Middle Seat, Back of Plane",200
